Treatment,Genotype,Plant,Stomata,Width,Length,Ratio,Repeat
WL,Col,2,571,22.85,102.473,0.222985567,2
WL,Col,2,572,16.18,60.313,0.268267206,2
WL,Col,2,573,10.442,46.84,0.22292912,2
WL,Col,2,574,11.973,53.329,0.224511992,2
WL,Col,2,575,11.928,50.359,0.23685935,2
WL,Col,2,576,11.281,49.488,0.227954252,2
WL,Col,2,577,23.032,61.825,0.372535382,2
WL,Col,2,578,19.981,62.555,0.319414915,2
WL,Col,2,579,20.853,56.626,0.368258397,2
WL,Col,2,580,16.994,65.656,0.258833922,2
FR,Col,1,161,11.402,57.527,0.198202583,3
FR,Col,1,162,13.573,53.023,0.255983253,3
FR,Col,1,163,8.201,91.739,0.089394914,3
FR,Col,1,164,9.668,59.505,0.162473742,3
FR,Col,1,165,11.344,50.934,0.222719598,3
FR,Col,1,166,17.399,76.782,0.226602589,3
FR,Col,1,167,10.503,61.366,0.171153407,3
FR,Col,1,168,17.263,56.996,0.302880904,3
FR,Col,1,169,20.238,103.313,0.195890159,3
FR,Col,1,170,10.777,75.738,0.142293169,3
FR,Col,2,181,19.51,51.252,0.380668071,3
FR,Col,2,182,10.179,76.518,0.133027523,3
FR,Col,2,183,8.404,60.983,0.137808898,3
FR,Col,2,184,4.003,55.716,0.071846507,3
FR,Col,2,185,5.429,68.648,0.079084606,3
FR,Col,2,186,19.248,43.498,0.442503104,3
FR,Col,2,187,6.864,67.951,0.101013966,3
FR,Col,2,188,9.335,65.5,0.142519084,3
FR,Col,2,189,15.207,67.787,0.224335049,3
FR,Col,2,190,12.607,76.726,0.164311967,3
FR,Col,3,591,9.78,68.95,0.141841914,3
FR,Col,3,592,7.236,77.581,0.093270259,3
FR,Col,3,593,12.042,64.396,0.186999192,3
FR,Col,3,594,8.75,53.861,0.162455209,3
FR,Col,3,595,24.044,93.358,0.25754622,3
FR,Col,3,596,15.381,45.079,0.341201003,3
FR,Col,3,597,15.7,54.638,0.287345803,3
FR,Col,3,598,10.961,68.119,0.160909585,3
FR,Col,3,599,12.41,68.171,0.182042217,3
FR,Col,3,600,8.507,67.897,0.125292723,3
FR,pif45,1,431,13.993,48.351,0.289404562,3
FR,pif45,1,432,16.853,88.375,0.190698727,3
FR,pif45,1,433,11.353,48.874,0.232291198,3
FR,pif45,1,434,6.669,59.337,0.112391931,3
FR,pif45,1,435,12.012,66.321,0.181119103,3
FR,pif45,1,436,14.811,53.982,0.274369234,3
FR,pif45,1,437,7.883,57.428,0.137267535,3
FR,pif45,1,438,19.329,65.897,0.293321396,3
FR,pif45,1,439,6.374,59.43,0.10725223,3
FR,pif45,1,440,12.191,61.415,0.198501995,3
FR,pif45,2,241,14.912,81.249,0.183534567,3
FR,pif45,2,242,12.032,58.096,0.207105481,3
FR,pif45,2,243,15.033,64.834,0.231869081,3
FR,pif45,2,244,20.266,91.931,0.220447945,3
