Index,Width,Length,Treatment,Genotype,Plant,Repeat
34,2.11668,10.787504,Predawn,Col-0,1,2
35,1.156176,9.470376,Predawn,Col-0,1,2
48,1.83148,13.0882,WL,Col-0,1,2
49,0.71176,8.301304,WL,Col-0,1,2
50,1.432944,7.579872,WL,Col-0,1,2
51,2.245144,7.764136,WL,Col-0,1,2
52,1.901416,9.73276,WL,Col-0,1,2
53,4.572872,11.473968,WL,Col-0,1,2
54,1.924976,9.010584,WL,Col-0,1,2
55,2.865144,12.071152,WL,Col-0,1,2
56,3.22772,11.96724,WL,Col-0,1,2
57,2.171984,9.180464,WL,Col-0,1,2
58,2.400144,8.439688,WL,Col-0,1,2
59,2.650872,10.816272,WL,Col-0,1,2
60,1.144272,9.75136,WL,blus1-3,4,2
61,3.244584,15.826616,WL,blus1-3,4,2
62,2.106512,8.554264,WL,blus1-3,4,2
63,1.818832,7.65452,WL,blus1-3,4,2
64,3.095288,12.269056,WL,blus1-3,4,2
65,1.960936,10.644904,WL,blus1-3,4,2
66,1.940848,12.561696,WL,blus1-3,4,2
67,2.172976,7.774304,WL,blus1-3,4,2
68,3.085616,13.116224,WL,blus1-3,4,2
69,3.736864,12.136624,WL,blus1-3,4,2
70,4.197896,10.81652,WL,blus1-3,4,2
71,1.92944,10.192552,WL,blus1-3,4,2
0,2.61888,11.152808,WL,blus1-3,2,2
1,1.257112,13.086464,WL,blus1-3,2,2
2,3.09876,9.963648,WL,blus1-3,2,2
3,1.970608,8.197392,WL,blus1-3,2,2
4,2.597056,9.005376,WL,blus1-3,2,2
5,2.70444,15.507688,WL,blus1-3,2,2
6,3.789688,10.598528,WL,blus1-3,2,2
7,4.166648,17.72332,WL,blus1-3,2,2
8,2.514224,16.89376,WL,blus1-3,2,2
9,2.110232,7.883672,WL,blus1-3,2,2
10,2.176696,12.18548,WL,blus1-3,2,2
11,1.875128,9.314384,WL,blus1-3,2,2
12,3.27732,13.029424,UV,Col-0,4,2
13,3.27608,9.38308,UV,Col-0,4,2
14,2.403368,12.170352,UV,Col-0,4,2
15,2.959384,14.578928,UV,Col-0,4,2
16,2.152144,11.249032,UV,Col-0,4,2
17,2.164048,9.501624,UV,Col-0,4,2
18,2.950456,12.479856,UV,Col-0,4,2
19,2.477024,11.106184,UV,Col-0,4,2
20,2.507776,11.554072,UV,Col-0,4,2
