Index,Width,Length,Time,Treatment,Age,Plant
467,2.386,30.968,240mins,FR,Mature,2
468,3.466,31.046,240mins,FR,Mature,2
469,1.908,33.242,240mins,FR,Mature,2
470,2.918,35.666,240mins,FR,Mature,2
471,2.315,28.761,240mins,FR,Mature,2
472,4.155,32.036,240mins,FR,Mature,2
473,1.7,35.576,240mins,FR,Mature,2
474,1.458,31.862,240mins,FR,Mature,2
475,4.845,35.706,240mins,FR,Mature,2
476,2.637,32.887,240mins,FR,Mature,2
477,3.206,35.353,240mins,FR,Mature,2
478,1.803,40.353,240mins,FR,Mature,2
479,8.106,28.066,120mins,FR,Mature,2
480,3.691,34.602,120mins,FR,Mature,2
481,6.325,33.204,120mins,FR,Mature,2
482,8.064,25.898,120mins,FR,Mature,2
483,9.156,29.629,120mins,FR,Mature,2
484,10.179,32.972,120mins,FR,Mature,2
485,5.369,35.713,120mins,FR,Mature,2
486,5.897,31.616,120mins,FR,Mature,2
487,7.9,25.73,120mins,FR,Mature,2
488,5.427,31.681,120mins,FR,Mature,2
489,6.8,28.675,120mins,FR,Mature,2
490,4.725,32.084,120mins,FR,Mature,2
491,5.618,28.58,120mins,FR,Mature,1
492,4.112,27.765,120mins,FR,Mature,1
493,6.338,36.171,120mins,FR,Mature,1
494,8.553,29.677,120mins,FR,Mature,1
495,3.826,37.829,120mins,FR,Mature,1
496,8.348,33.883,120mins,FR,Mature,1
497,4.562,37.351,120mins,FR,Mature,1
498,8.434,34.622,120mins,FR,Mature,1
499,5.966,32.026,120mins,FR,Mature,1
500,9.031,35.083,120mins,FR,Mature,1
501,10.738,38.414,120mins,FR,Mature,1
502,7.433,29.071,120mins,FR,Mature,1
503,4.788,38.344,360mins,WL,Mature,3
504,3.482,35.318,360mins,WL,Mature,3
505,3.717,27.875,360mins,WL,Mature,3
506,2.321,42.802,360mins,WL,Mature,3
507,3.881,37.385,360mins,WL,Mature,3
508,1.841,39.157,360mins,WL,Mature,3
509,8.519,33.583,360mins,WL,Mature,3
510,5.401,36.425,360mins,WL,Mature,3
511,4.184,35.364,360mins,WL,Mature,3
512,2.035,33.175,360mins,WL,Mature,3
513,6.467,35.139,360mins,WL,Mature,3
514,2.603,34.668,360mins,WL,Mature,3
515,9.683,30.452,120mins,UV,Mature,2
516,10.459,35.727,120mins,UV,Mature,2
517,4.981,37.41,120mins,UV,Mature,2
518,7.782,34.297,120mins,UV,Mature,2
519,8.626,32.381,120mins,UV,Mature,2
520,10.637,33.677,120mins,UV,Mature,2
521,5.381,39.005,120mins,UV,Mature,2
522,6.915,35.916,120mins,UV,Mature,2
523,6.374,35.186,120mins,UV,Mature,2
524,7.9,26.38,120mins,UV,Mature,2
